#RUN	GRID	LAT	LNG	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	1	44.8590	-122.1290	0.57	0.39	0.080	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1405.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	2	44.8590	-122.0290	0.57	0.39	0.081	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1207.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	3	44.8590	-121.9290	0.57	0.39	0.173	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1363.00	0.25	0.16	6.59	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1359.14	0.075	0.075	1
1	4	44.8590	-121.8290	0.57	0.39	0.043	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1268.00	0.25	0.16	6.59	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1359.14	0.075	0.075	1
1	5	44.7590	-122.2290	0.57	0.39	0.033	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1187.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	6	44.7590	-122.1290	0.57	0.39	0.136	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	896.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	7	44.7590	-122.0290	0.57	0.39	0.087	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1138.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	8	44.7590	-121.9290	0.57	0.39	0.121	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	947.00	0.25	0.16	6.59	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1359.14	0.075	0.075	1
1	9	44.7590	-121.8290	0.57	0.39	0.113	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1325.00	0.25	0.16	6.59	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1359.14	0.075	0.075	1
1	10	44.7590	-121.7290	0.57	0.39	0.069	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1544.00	0.25	0.16	6.59	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1359.14	0.075	0.075	1
1	11	44.6590	-122.3290	0.57	0.39	0.174	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1051.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.2	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
1	12	44.6590	-122.2290	0.57	0.39	0.086	0.0045	2	19.04	19.04	1.77	1.77	-999	-999	124.53	131.32	1198.00	0.25	0.16	7.84	4	56.43	56.43	-999	-999	1100	1160	2650	2650	-8.1	0.739	0.739	0.457	0.457	0.001	0.005	1751.77	0.075	0.075	1
