Date,Streamflow
2018-06-03,367.4
2018-06-04,252.7
2018-06-05,214.4
2018-06-06,181.7
2018-06-07,153.0
2018-06-08,147.2
2018-06-09,162.0
2018-06-10,1050.9
2018-06-11,1638.5
2018-06-12,1842.9
2018-06-13,1100.6
2018-06-14,665.1
2018-06-15,451.9
2018-06-16,319.2
2018-06-17,251.7
2018-06-18,302.8
2018-06-19,723.1
2018-06-20,511.2
2018-06-21,362.9
2018-06-22,705.2
2018-06-23,547.0
2018-06-24,355.3
2018-06-25,340.3
2018-06-26,282.7
2018-06-27,233.2
2018-06-28,218.0
2018-06-29,210.6
2018-06-30,195.4
2018-07-01,190.4
2018-07-02,186.9
2018-07-03,175.0
2018-07-04,168.1
2018-07-05,163.4
2018-07-06,157.8
2018-07-07,152.9
2018-07-08,148.1
2018-07-09,143.2
2018-07-10,138.4
2018-07-11,133.6
2018-07-12,129.0
2018-07-13,124.4
2018-07-14,119.9
2018-07-15,115.5
2018-07-16,111.2
2018-07-17,107.1
2018-07-18,103.2
2018-07-19,99.4
2018-07-20,95.7
2018-07-21,92.1
2018-07-22,88.7
2018-07-23,85.5
2018-07-24,82.3
2018-07-25,79.3
2018-07-26,76.5
2018-07-27,73.7
2018-07-28,71.1
2018-07-29,68.6
2018-07-30,66.2
2018-07-31,63.9
2018-08-01,61.7
2018-08-02,59.6
2018-08-03,57.5
2018-08-04,55.6
2018-08-05,53.7
2018-08-06,51.9
2018-08-07,50.2
2018-08-08,48.5
2018-08-09,46.9
2018-08-10,45.4
2018-08-11,43.9
2018-08-12,42.5
2018-08-13,41.1
2018-08-14,39.8
2018-08-15,38.6
2018-08-16,37.4
2018-08-17,36.2
2018-08-18,35.2
2018-08-19,34.2
2018-08-20,33.2
2018-08-21,32.3
2018-08-22,31.4
2018-08-23,30.6
2018-08-24,29.8
2018-08-25,29.0
2018-08-26,28.9
2018-08-27,64.3
2018-08-28,179.2
2018-08-29,125.3
2018-08-30,74.6
2018-08-31,55.2
2018-09-01,42.5
2018-09-02,47.8
2018-09-03,38.1
2018-09-04,32.8
2018-09-05,31.1
2018-09-06,29.8
2018-09-07,27.8
2018-09-08,24.7
2018-09-09,23.9
2018-09-10,31.5
2018-09-11,43.8
2018-09-12,83.9
2018-09-13,681.1
2018-09-14,647.3
2018-09-15,353.6
2018-09-16,211.1
2018-09-17,265.6
2018-09-18,315.9
2018-09-19,179.7
2018-09-20,115.4
2018-09-21,92.5
2018-09-22,75.1
2018-09-23,154.9
2018-09-24,174.9
2018-09-25,107.4
2018-09-26,76.0
2018-09-27,63.6
2018-09-28,50.4
2018-09-29,41.3
2018-09-30,41.2
2018-10-01,75.7
2018-10-02,112.0
2018-10-03,79.0
2018-10-04,58.6
2018-10-05,50.1
2018-10-06,62.4
2018-10-07,975.2
2018-10-08,723.6
2018-10-09,763.2
2018-10-10,1043.1
2018-10-11,614.4
2018-10-12,325.1
2018-10-13,225.3
2018-10-14,160.8
2018-10-15,120.0
2018-10-16,116.4
2018-10-17,118.4
2018-10-18,101.9
2018-10-19,97.5
2018-10-20,90.6
2018-10-21,78.6
2018-10-22,76.9
2018-10-23,76.9
2018-10-24,77.2
2018-10-25,94.8
2018-10-26,102.6
2018-10-27,924.8
2018-10-28,1270.6
2018-10-29,3471.3
2018-10-30,3530.7
2018-10-31,2552.0
2018-11-01,1877.9
2018-11-02,1574.9
2018-11-03,1026.1
2018-11-04,837.4
2018-11-05,849.5
2018-11-06,891.1
2018-11-07,739.1
2018-11-08,583.3
2018-11-09,450.2
2018-11-10,368.5
2018-11-11,324.4
2018-11-12,302.6
2018-11-13,286.9
2018-11-14,278.0
2018-11-15,268.2
2018-11-16,265.0
2018-11-17,248.3
2018-11-18,235.9
2018-11-19,227.4
2018-11-20,219.4
2018-11-21,211.7
2018-11-22,213.3
2018-11-23,669.2
2018-11-24,1816.5
2018-11-25,2630.5
2018-11-26,1495.0
2018-11-27,906.5
2018-11-28,1977.9
2018-11-29,3351.5
2018-11-30,3590.9
2018-12-01,2223.8
2018-12-02,3645.5
2018-12-03,2634.6
2018-12-04,1562.7
2018-12-05,1066.1
2018-12-06,817.5
2018-12-07,632.6
2018-12-08,583.8
2018-12-09,634.5
2018-12-10,871.0
2018-12-11,2162.5
2018-12-12,1683.0
2018-12-13,3066.4
2018-12-14,1916.6
2018-12-15,1145.4
2018-12-16,1143.2
2018-12-17,1243.5
