Date,Forebay Elevation,Rule Curve Elevation
10-Dec-2014 00:00,1453.96,1450.002
11-Dec-2014 00:00,1453.26,1450.002
12-Dec-2014 00:00,1453.52,1450.002
13-Dec-2014 00:00,1453.39,1450.002
14-Dec-2014 00:00,1452.93,1450.002
15-Dec-2014 00:00,1452.15,1450.002
16-Dec-2014 00:00,1451.23,1450.002
17-Dec-2014 00:00,1450.37,1450.002
18-Dec-2014 00:00,1449.64,1450.002
19-Dec-2014 00:00,1449.32,1450.002
20-Dec-2014 00:00,1449.19,1450.002
21-Dec-2014 00:00,1450.64,1450.002
22-Dec-2014 00:00,1468.97,1450.002
23-Dec-2014 00:00,1488.68,1450.002
24-Dec-2014 00:00,1495.12,1450.002
25-Dec-2014 00:00,1493.63,1450.002
26-Dec-2014 00:00,1491.03,1450.002
27-Dec-2014 00:00,1487.15,1450.002
28-Dec-2014 00:00,1482.14,1450.002
29-Dec-2014 00:00,1476.9,1450.002
30-Dec-2014 00:00,1471.28,1450.002
31-Dec-2014 00:00,1464.47,1450.002
01-Jan-2015 00:00,1458.31,1450.002
02-Jan-2015 00:00,1455.22,1450.002
03-Jan-2015 00:00,1453.3,1450.002
04-Jan-2015 00:00,1452.22,1450.002
05-Jan-2015 00:00,1451.68,1450.002
06-Jan-2015 00:00,1451.6,1450.002
07-Jan-2015 00:00,1452.23,1450.002
08-Jan-2015 00:00,1452.65,1450.002
09-Jan-2015 00:00,1453.54,1450.002
10-Jan-2015 00:00,1454.16,1450.002
11-Jan-2015 00:00,1454.71,1450.002
12-Jan-2015 00:00,1455.03,1450.002
13-Jan-2015 00:00,1455.16,1450.002
14-Jan-2015 00:00,1455.25,1450.002
15-Jan-2015 00:00,1455.21,1450.002
16-Jan-2015 00:00,1455.01,1450.002
17-Jan-2015 00:00,1455.76,1450.002
18-Jan-2015 00:00,1457.88,1450.002
19-Jan-2015 00:00,1466.2,1450.002
20-Jan-2015 00:00,1472.76,1450.002
21-Jan-2015 00:00,1476.36,1450.002
22-Jan-2015 00:00,1478.07,1450.002
23-Jan-2015 00:00,1478.45,1450.002
24-Jan-2015 00:00,1478.33,1450.002
25-Jan-2015 00:00,1477.28,1450.002
26-Jan-2015 00:00,1475.83,1450.002
27-Jan-2015 00:00,1474.16,1450.002
28-Jan-2015 00:00,1472.33,1450.002
29-Jan-2015 00:00,1471.17,1450.002
30-Jan-2015 00:00,1470.08,1450.002
31-Jan-2015 00:00,1469.21,1450.002
01-Feb-2015 00:00,1468.73,1450.002
02-Feb-2015 00:00,1469.01,1452.805
03-Feb-2015 00:00,1469.51,1455.537
04-Feb-2015 00:00,1470.32,1458.203
05-Feb-2015 00:00,1471.19,1460.812
06-Feb-2015 00:00,1471.87,1463.37
07-Feb-2015 00:00,1470.19,1465.88
08-Feb-2015 00:00,1469.63,1468.344
09-Feb-2015 00:00,1470.9,1470.763
10-Feb-2015 00:00,1470.82,1473.142
11-Feb-2015 00:00,1473.61,1475.483
12-Feb-2015 00:00,1476.4,1477.789
13-Feb-2015 00:00,1478.04,1480.059
14-Feb-2015 00:00,1478.85,1482.293
15-Feb-2015 00:00,1479.71,1484.495
16-Feb-2015 00:00,1480.52,1486.666
17-Feb-2015 00:00,1481.46,1488.809
18-Feb-2015 00:00,1482.28,1490.923
19-Feb-2015 00:00,1482.92,1493.007
20-Feb-2015 00:00,1483.43,1495.063
21-Feb-2015 00:00,1483.91,1497.094
22-Feb-2015 00:00,1484.39,1499.1
23-Feb-2015 00:00,1484.79,1501.081
24-Feb-2015 00:00,1485.1,1503.039
25-Feb-2015 00:00,1485.3,1504.974
26-Feb-2015 00:00,1485.58,1506.885
27-Feb-2015 00:00,1485.82,1508.772
28-Feb-2015 00:00,1486.17,1510.639
01-Mar-2015 00:00,1486.53,1512.485
02-Mar-2015 00:00,1486.72,1513.4
03-Mar-2015 00:00,1486.89,1514.31
04-Mar-2015 00:00,1487.09,1515.215
05-Mar-2015 00:00,1487.22,1516.115
06-Mar-2015 00:00,1487.27,1517.01
07-Mar-2015 00:00,1487.32,1517.9
08-Mar-2015 00:00,1487.34,1518.785
08-Mar-2015 23:00,1487.31,
09-Mar-2015 00:00,,1519.665
09-Mar-2015 23:00,1487.3,
10-Mar-2015 00:00,,1520.541
10-Mar-2015 23:00,1487.29,
11-Mar-2015 00:00,,1521.412
11-Mar-2015 23:00,1487.23,
12-Mar-2015 00:00,,1522.278
12-Mar-2015 23:00,1487.26,
13-Mar-2015 00:00,,1523.14
13-Mar-2015 23:00,1487.24,
14-Mar-2015 00:00,,1523.997
14-Mar-2015 23:00,1487.31,
15-Mar-2015 00:00,,1524.849
15-Mar-2015 23:00,1488.3,
16-Mar-2015 00:00,,1525.696
16-Mar-2015 23:00,1489.89,
17-Mar-2015 00:00,,1526.539
17-Mar-2015 23:00,1490.84,
18-Mar-2015 00:00,,1527.378
18-Mar-2015 23:00,1491.35,
19-Mar-2015 00:00,,1528.213
19-Mar-2015 23:00,1491.68,
20-Mar-2015 00:00,,1529.043
20-Mar-2015 23:00,1491.9,
21-Mar-2015 00:00,,1529.869
21-Mar-2015 23:00,1492.19,
22-Mar-2015 00:00,,1530.69
22-Mar-2015 23:00,1492.39,
23-Mar-2015 00:00,,1531.507
23-Mar-2015 23:00,1492.61,
24-Mar-2015 00:00,,1532.32
24-Mar-2015 23:00,1493.32,
25-Mar-2015 00:00,,1533.129
25-Mar-2015 23:00,1494.25,
26-Mar-2015 00:00,,1533.933
26-Mar-2015 23:00,1495.27,
27-Mar-2015 00:00,,1534.733
27-Mar-2015 23:00,1496.15,
28-Mar-2015 00:00,,1535.529
28-Mar-2015 23:00,1496.92,
29-Mar-2015 00:00,,1536.321
29-Mar-2015 23:00,1497.63,
30-Mar-2015 00:00,,1537.108
30-Mar-2015 23:00,1498.14,
31-Mar-2015 00:00,,1537.891
31-Mar-2015 23:00,1498.68,
01-Apr-2015 00:00,,1538.669
01-Apr-2015 23:00,1499.27,
02-Apr-2015 00:00,,1539.444
02-Apr-2015 23:00,1499.91,
03-Apr-2015 00:00,,1540.214
03-Apr-2015 23:00,1500.5,
04-Apr-2015 00:00,,1540.981
04-Apr-2015 23:00,1501.01,
05-Apr-2015 00:00,,1541.743
05-Apr-2015 23:00,1501.46,
06-Apr-2015 00:00,,1542.501
06-Apr-2015 23:00,1501.77,
07-Apr-2015 00:00,,1543.256
07-Apr-2015 23:00,1502.16,
08-Apr-2015 00:00,,1544.007
08-Apr-2015 23:00,1502.45,
09-Apr-2015 00:00,,1544.753
09-Apr-2015 23:00,1502.8,
10-Apr-2015 00:00,,1545.496
10-Apr-2015 23:00,1503.09,
11-Apr-2015 00:00,,1546.235
11-Apr-2015 23:00,1503.36,
12-Apr-2015 00:00,,1546.971
12-Apr-2015 23:00,1503.71,
13-Apr-2015 00:00,,1547.701
13-Apr-2015 23:00,1504.07,
14-Apr-2015 00:00,,1548.428
14-Apr-2015 23:00,1504.52,
15-Apr-2015 00:00,,1549.152
15-Apr-2015 23:00,1504.88,
16-Apr-2015 00:00,,1549.871
16-Apr-2015 23:00,1505.31,
17-Apr-2015 00:00,,1550.586
17-Apr-2015 23:00,1505.66,
18-Apr-2015 00:00,,1551.297
18-Apr-2015 23:00,1506.08,
19-Apr-2015 00:00,,1552.006
19-Apr-2015 23:00,1506.52,
20-Apr-2015 00:00,,1552.709
20-Apr-2015 23:00,1506.93,
21-Apr-2015 00:00,,1553.409
21-Apr-2015 23:00,1507.28,
22-Apr-2015 00:00,,1554.107
22-Apr-2015 23:00,1507.58,
23-Apr-2015 00:00,,1554.799
23-Apr-2015 23:00,1507.86,
24-Apr-2015 00:00,,1555.488
24-Apr-2015 23:00,1508.01,
25-Apr-2015 00:00,,1556.174
25-Apr-2015 23:00,1508.2,
26-Apr-2015 00:00,,1556.855
26-Apr-2015 23:00,1508.42,
27-Apr-2015 00:00,,1557.533
27-Apr-2015 23:00,1508.61,
28-Apr-2015 00:00,,1558.208
28-Apr-2015 23:00,1508.74,
29-Apr-2015 00:00,,1558.88
29-Apr-2015 23:00,1508.87,
30-Apr-2015 00:00,,1559.548
30-Apr-2015 23:00,1509.02,
01-May-2015 00:00,,1560.214
01-May-2015 23:00,1509.14,
02-May-2015 00:00,,1560.877
02-May-2015 23:00,1509.18,
03-May-2015 00:00,,1561.537
03-May-2015 23:00,1509.11,
04-May-2015 00:00,,1562.194
04-May-2015 23:00,1509.1,
05-May-2015 00:00,,1562.848
05-May-2015 23:00,1508.99,
06-May-2015 00:00,,1563.499
06-May-2015 23:00,1508.91,
07-May-2015 00:00,,1563.499
07-May-2015 23:00,1508.85,
08-May-2015 00:00,,1563.499
08-May-2015 23:00,1508.82,
09-May-2015 00:00,,1563.499
09-May-2015 23:00,1508.76,
10-May-2015 00:00,,1563.499
10-May-2015 23:00,1508.57,
11-May-2015 00:00,,1563.499
11-May-2015 23:00,1508.39,
12-May-2015 00:00,,1563.499
12-May-2015 23:00,1508.34,
13-May-2015 00:00,,1563.499
13-May-2015 23:00,1508.3,
14-May-2015 00:00,,1563.499
14-May-2015 23:00,1508.2,
15-May-2015 00:00,,1563.499
15-May-2015 23:00,1508.07,
16-May-2015 00:00,,1563.499
16-May-2015 23:00,1507.96,
17-May-2015 00:00,,1563.499
17-May-2015 23:00,1507.85,
18-May-2015 00:00,,1563.499
18-May-2015 23:00,1507.77,
19-May-2015 00:00,,1563.499
20-May-2015 00:00,,1563.499
20-May-2015 23:00,1507.62,
21-May-2015 00:00,,1563.499
21-May-2015 23:00,1507.56,
22-May-2015 00:00,,1563.499
22-May-2015 23:00,1507.59,
23-May-2015 00:00,,1563.499
23-May-2015 23:00,1507.7,
24-May-2015 00:00,,1563.499
24-May-2015 23:00,1507.7,
25-May-2015 00:00,,1563.499
25-May-2015 23:00,1507.69,
26-May-2015 00:00,,1563.499
26-May-2015 23:00,1507.6,
27-May-2015 00:00,,1563.499
27-May-2015 23:00,1507.6,
28-May-2015 00:00,,1563.499
28-May-2015 23:00,1507.42,
29-May-2015 00:00,,1563.499
29-May-2015 23:00,1507.24,
30-May-2015 00:00,,1563.499
30-May-2015 23:00,1507.14,
31-May-2015 00:00,,1563.499
31-May-2015 23:00,1507.02,
01-Jun-2015 00:00,,1563.499
01-Jun-2015 23:00,1506.82,
02-Jun-2015 00:00,,1563.499
02-Jun-2015 23:00,1506.64,
03-Jun-2015 00:00,,1563.499
03-Jun-2015 23:00,1506.46,
04-Jun-2015 00:00,,1563.499
04-Jun-2015 23:00,1506.29,
05-Jun-2015 00:00,,1563.499
05-Jun-2015 23:00,1506.07,
06-Jun-2015 00:00,,1563.499
06-Jun-2015 23:00,1505.86,
07-Jun-2015 00:00,,1563.499
07-Jun-2015 23:00,1505.65,
08-Jun-2015 00:00,,1563.499
08-Jun-2015 23:00,1505.38,
09-Jun-2015 00:00,,1563.499
09-Jun-2015 23:00,1505.14,
10-Jun-2015 00:00,,1563.499
10-Jun-2015 23:00,1504.89,
11-Jun-2015 00:00,,1563.499
11-Jun-2015 23:00,1504.69,
12-Jun-2015 00:00,,1563.499
12-Jun-2015 23:00,1504.46,
13-Jun-2015 00:00,,1563.499
13-Jun-2015 23:00,1504.23,
14-Jun-2015 00:00,,1563.499
14-Jun-2015 23:00,1503.9,
15-Jun-2015 00:00,,1563.499
15-Jun-2015 23:00,1503.49,
16-Jun-2015 00:00,,1563.499
16-Jun-2015 23:00,1503.16,
17-Jun-2015 00:00,,1563.499
17-Jun-2015 23:00,1502.85,
18-Jun-2015 00:00,,1563.499
18-Jun-2015 23:00,1502.5,
19-Jun-2015 00:00,,1563.499
19-Jun-2015 23:00,1502.16,
20-Jun-2015 00:00,,1563.499
20-Jun-2015 23:00,1501.87,
21-Jun-2015 00:00,,1563.499
21-Jun-2015 23:00,1501.56,
22-Jun-2015 00:00,,1563.499
22-Jun-2015 23:00,1501.14,
23-Jun-2015 00:00,,1563.499
23-Jun-2015 23:00,1500.89,
24-Jun-2015 00:00,,1563.499
24-Jun-2015 23:00,1500.49,
25-Jun-2015 00:00,,1563.499
25-Jun-2015 23:00,1500.11,
26-Jun-2015 00:00,,1563.499
26-Jun-2015 23:00,1499.72,
27-Jun-2015 00:00,,1563.499
27-Jun-2015 23:00,1499.36,
28-Jun-2015 00:00,,1563.499
28-Jun-2015 23:00,1498.97,
29-Jun-2015 00:00,,1563.499
29-Jun-2015 23:00,1498.56,
30-Jun-2015 00:00,,1563.499
30-Jun-2015 23:00,1498.25,
01-Jul-2015 00:00,,1563.499
01-Jul-2015 23:00,1497.89,
02-Jul-2015 00:00,,1563.499
02-Jul-2015 23:00,1497.44,
03-Jul-2015 00:00,,1563.499
03-Jul-2015 23:00,1497.0,
04-Jul-2015 00:00,,1563.499
04-Jul-2015 23:00,1496.56,
05-Jul-2015 00:00,,1563.499
05-Jul-2015 23:00,1496.12,
06-Jul-2015 00:00,,1563.499
06-Jul-2015 23:00,1495.67,
07-Jul-2015 00:00,,1563.499
07-Jul-2015 23:00,1495.26,
08-Jul-2015 00:00,,1563.499
08-Jul-2015 23:00,1494.81,
09-Jul-2015 00:00,,1563.499
09-Jul-2015 23:00,1494.39,
10-Jul-2015 00:00,,1563.499
10-Jul-2015 23:00,1494.0,
11-Jul-2015 00:00,,1563.499
11-Jul-2015 23:00,1493.62,
12-Jul-2015 00:00,,1563.499
12-Jul-2015 23:00,1493.21,
13-Jul-2015 00:00,,1563.499
13-Jul-2015 23:00,1492.79,
14-Jul-2015 00:00,,1563.499
14-Jul-2015 23:00,1492.41,
15-Jul-2015 00:00,,1563.499
15-Jul-2015 23:00,1491.96,
16-Jul-2015 00:00,,1563.499
16-Jul-2015 23:00,1491.41,
17-Jul-2015 00:00,,1563.499
17-Jul-2015 23:00,1490.98,
18-Jul-2015 00:00,,1563.499
18-Jul-2015 23:00,1490.53,
19-Jul-2015 00:00,,1563.499
19-Jul-2015 23:00,1490.0,
20-Jul-2015 00:00,,1563.499
20-Jul-2015 23:00,1489.66,
21-Jul-2015 00:00,,1563.499
21-Jul-2015 23:00,1489.27,
22-Jul-2015 00:00,,1563.499
22-Jul-2015 23:00,1488.9,
23-Jul-2015 00:00,,1563.499
23-Jul-2015 23:00,1488.5,
24-Jul-2015 00:00,,1563.499
24-Jul-2015 23:00,1488.09,
25-Jul-2015 00:00,,1563.499
25-Jul-2015 23:00,1487.72,
26-Jul-2015 00:00,,1563.499
26-Jul-2015 23:00,1487.29,
27-Jul-2015 00:00,,1563.499
27-Jul-2015 23:00,1486.9,
28-Jul-2015 00:00,,1563.499
28-Jul-2015 23:00,1486.49,
29-Jul-2015 00:00,,1563.499
29-Jul-2015 23:00,1486.04,
30-Jul-2015 00:00,,1563.499
30-Jul-2015 23:00,1485.58,
31-Jul-2015 00:00,,1563.499
31-Jul-2015 23:00,1485.08,
01-Aug-2015 00:00,,1563.499
01-Aug-2015 23:00,1484.64,
02-Aug-2015 00:00,,1563.499
02-Aug-2015 23:00,1484.2,
03-Aug-2015 00:00,,1563.499
03-Aug-2015 23:00,1483.79,
04-Aug-2015 00:00,,1563.499
04-Aug-2015 23:00,1483.36,
05-Aug-2015 00:00,,1563.499
05-Aug-2015 23:00,1482.88,
06-Aug-2015 00:00,,1563.499
06-Aug-2015 23:00,1482.41,
07-Aug-2015 00:00,,1563.499
08-Aug-2015 00:00,,1563.499
08-Aug-2015 23:00,1481.49,
09-Aug-2015 00:00,,1563.499
09-Aug-2015 23:00,1481.09,
10-Aug-2015 00:00,,1563.499
10-Aug-2015 23:00,1480.63,
11-Aug-2015 00:00,,1563.499
11-Aug-2015 23:00,1480.24,
12-Aug-2015 00:00,,1563.499
12-Aug-2015 23:00,1479.86,
13-Aug-2015 00:00,,1563.499
13-Aug-2015 23:00,1479.42,
14-Aug-2015 00:00,,1563.499
14-Aug-2015 23:00,1478.98,
15-Aug-2015 00:00,,1563.499
15-Aug-2015 23:00,1478.5,
16-Aug-2015 00:00,,1563.499
16-Aug-2015 23:00,1478.01,
17-Aug-2015 00:00,,1563.499
17-Aug-2015 23:00,1477.52,
18-Aug-2015 00:00,,1563.499
18-Aug-2015 23:00,1477.02,
19-Aug-2015 00:00,,1563.499
19-Aug-2015 23:00,1476.53,
20-Aug-2015 00:00,,1563.499
20-Aug-2015 23:00,1476.01,
21-Aug-2015 00:00,,1563.499
21-Aug-2015 23:00,1475.49,
22-Aug-2015 00:00,,1563.499
22-Aug-2015 23:00,1474.98,
23-Aug-2015 00:00,,1563.499
23-Aug-2015 23:00,1474.46,
24-Aug-2015 00:00,,1563.499
24-Aug-2015 23:00,1473.99,
25-Aug-2015 00:00,,1563.499
25-Aug-2015 23:00,1473.53,
26-Aug-2015 00:00,,1563.499
26-Aug-2015 23:00,1473.06,
27-Aug-2015 00:00,,1563.499
27-Aug-2015 23:00,1472.53,
28-Aug-2015 00:00,,1563.499
28-Aug-2015 23:00,1472.01,
29-Aug-2015 00:00,,1563.499
29-Aug-2015 23:00,1471.52,
30-Aug-2015 00:00,,1563.499
30-Aug-2015 23:00,1471.1,
31-Aug-2015 00:00,,1563.499
31-Aug-2015 23:00,1470.68,
01-Sep-2015 00:00,,1563.499
01-Sep-2015 23:00,1470.04,
02-Sep-2015 00:00,,1562.691
02-Sep-2015 23:00,1469.77,
03-Sep-2015 00:00,,1561.879
03-Sep-2015 23:00,1469.32,
04-Sep-2015 00:00,,1561.062
04-Sep-2015 23:00,1468.82,
05-Sep-2015 00:00,,1560.241
05-Sep-2015 23:00,1468.28,
06-Sep-2015 00:00,,1559.415
06-Sep-2015 23:00,1467.78,
07-Sep-2015 00:00,,1558.584
07-Sep-2015 23:00,1467.32,
08-Sep-2015 00:00,,1557.749
08-Sep-2015 23:00,1466.86,
09-Sep-2015 00:00,,1556.909
09-Sep-2015 23:00,1466.35,
10-Sep-2015 00:00,,1556.064
10-Sep-2015 23:00,1465.83,
11-Sep-2015 00:00,,1555.212
11-Sep-2015 23:00,1465.23,
12-Sep-2015 00:00,,1554.355
12-Sep-2015 23:00,1464.62,
13-Sep-2015 00:00,,1553.492
13-Sep-2015 23:00,1463.92,
14-Sep-2015 00:00,,1552.624
14-Sep-2015 23:00,1463.18,
15-Sep-2015 00:00,,1551.75
15-Sep-2015 23:00,1462.44,
16-Sep-2015 00:00,,1550.87
16-Sep-2015 23:00,1461.7,
17-Sep-2015 00:00,,1549.985
17-Sep-2015 23:00,1461.09,
18-Sep-2015 00:00,,1549.093
18-Sep-2015 23:00,1460.49,
19-Sep-2015 00:00,,1548.195
19-Sep-2015 23:00,1459.71,
20-Sep-2015 00:00,,1547.291
20-Sep-2015 23:00,1458.83,
21-Sep-2015 00:00,,1546.381
21-Sep-2015 23:00,1457.99,
22-Sep-2015 00:00,,1545.465
22-Sep-2015 23:00,1457.14,
23-Sep-2015 00:00,,1544.542
