Date,Inflow,Release
10-Dec-2014 00:00,2510.0,3510.0
11-Dec-2014 00:00,2720.0,2920.0
12-Dec-2014 00:00,3010.0,2660.0
13-Dec-2014 00:00,2560.0,2970.0
14-Dec-2014 00:00,2320.0,2880.0
15-Dec-2014 00:00,1530.0,2750.0
16-Dec-2014 00:00,1970.0,2780.0
17-Dec-2014 00:00,1780.0,2410.0
18-Dec-2014 00:00,1680.0,2050.0
19-Dec-2014 00:00,1540.0,1820.0
20-Dec-2014 00:00,1960.0,1920.0
21-Dec-2014 00:00,6900.0,1390.0
22-Dec-2014 00:00,24170.0,0.0
23-Dec-2014 00:00,14910.0,630.0
24-Dec-2014 00:00,7960.0,7170.0
25-Dec-2014 00:00,6520.0,8800.0
26-Dec-2014 00:00,5210.0,8790.0
27-Dec-2014 00:00,4190.0,8980.0
28-Dec-2014 00:00,3660.0,9130.0
29-Dec-2014 00:00,3550.0,8880.0
30-Dec-2014 00:00,3050.0,8880.0
31-Dec-2014 00:00,2400.0,9360.0
01-Jan-2015 00:00,2220.0,6320.0
02-Jan-2015 00:00,2220.0,4540.0
03-Jan-2015 00:00,2080.0,3110.0
04-Jan-2015 00:00,1870.0,2820.0
05-Jan-2015 00:00,1910.0,2070.0
06-Jan-2015 00:00,2190.0,1940.0
07-Jan-2015 00:00,2320.0,1930.0
08-Jan-2015 00:00,2320.0,1640.0
09-Jan-2015 00:00,2350.0,1860.0
10-Jan-2015 00:00,2480.0,1800.0
11-Jan-2015 00:00,2170.0,1870.0
12-Jan-2015 00:00,2040.0,1870.0
13-Jan-2015 00:00,2060.0,1900.0
14-Jan-2015 00:00,1940.0,1880.0
15-Jan-2015 00:00,1750.0,1910.0
16-Jan-2015 00:00,1760.0,1890.0
17-Jan-2015 00:00,3220.0,1820.0
18-Jan-2015 00:00,5610.0,1860.0
19-Jan-2015 00:00,10230.0,1270.0
20-Jan-2015 00:00,6220.0,1730.0
21-Jan-2015 00:00,4820.0,2120.0
22-Jan-2015 00:00,3660.0,2660.0
23-Jan-2015 00:00,3090.0,2840.0
24-Jan-2015 00:00,2620.0,3500.0
25-Jan-2015 00:00,2520.0,3740.0
26-Jan-2015 00:00,2220.0,3900.0
27-Jan-2015 00:00,2140.0,3880.0
28-Jan-2015 00:00,1740.0,3250.0
29-Jan-2015 00:00,1810.0,2850.0
30-Jan-2015 00:00,1720.0,2730.0
31-Jan-2015 00:00,1630.0,2350.0
01-Feb-2015 00:00,1460.0,1370.0
02-Feb-2015 00:00,1120.0,1120.0
03-Feb-2015 00:00,1810.0,1110.0
04-Feb-2015 00:00,1900.0,1110.0
05-Feb-2015 00:00,1950.0,1090.0
06-Feb-2015 00:00,1940.0,2190.0
07-Feb-2015 00:00,2930.0,4680.0
08-Feb-2015 00:00,5570.0,4650.0
09-Feb-2015 00:00,5110.0,4650.0
10-Feb-2015 00:00,4990.0,4680.0
11-Feb-2015 00:00,7280.0,3780.0
12-Feb-2015 00:00,4930.0,2570.0
13-Feb-2015 00:00,3610.0,2460.0
14-Feb-2015 00:00,2890.0,2430.0
